ID,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Medium for online class,Time spent on self study,Time spent on fitness,Time spent on sleep,Time spent on social media,Time spent on TV,Number of meals per day,Change in your weight,Health issue during lockdown,Stress busters,Time utilized,"Do you find yourself more connected with your family, close friends , relatives  ?",What you miss the most
R205,21,0.0,Very poor,Laptop/Desktop,0.0,2.0,12.0,6.0,0,4,Increased,NO,Watching web series,NO,NO,Travelling
R206,20,5.0,Good,Smartphone,2.5,1.0,9.0,3.0,0.5,2,Remain Constant,NO,Dancing,YES,YES,School/college
R207,16,7.0,Average,Tablet,4.0,1.0,7.0,1.0,0,3,Remain Constant,NO,Reading books,YES,YES,All of the above 
R208,17,6.0,Average,Laptop/Desktop,1.0,0.0,7.0,2.0,0,2,Remain Constant,NO,Online gaming,YES,NO,"Friends , relatives"
R209,59,3.0,Average,Smartphone,6.0,1.0,9.0,0.5,1,2,Increased,NO,Sleep,YES,YES,School/college
R210,17,7.0,Good,Smartphone,4.0,0.0,7.0,1.0,1,2,Increased,NO,Listening to music,YES,NO,School/college
R211,16,6.0,Very poor,Smartphone,5.0,0.0,7.0,2.0,0,3,Increased,NO,Online surfing,NO,YES,"Friends , relatives"
R212,20,3.0,Average,Laptop/Desktop,4.0,1.0,7.0,2.0,2,3,Remain Constant,NO,Talking to your relatives,YES,NO,School/college
R214,17,6.0,Very poor,Smartphone,1.5,2.0,7.0,2.0,0.5,4,Increased,NO,Workout ,YES,NO,Travelling
R215,17,6.0,Average,Laptop/Desktop,5.0,0.5,7.0,1.0,1,2,Remain Constant,NO,Listening to music,NO,NO,Eating outside
R216,20,3.0,Good,Laptop/Desktop,4.0,0.0,7.0,4.0,0,2,Remain Constant,YES,Social Media,YES,YES,Colleagues
R217,17,6.0,Average,Tablet,2.0,1.0,7.0,1.0,1,4,Remain Constant,NO,Reading books,NO,YES,"Friends , relatives"
R218,20,4.0,Very poor,Smartphone,2.0,0.0,7.0,0.5,0.5,3,Increased,NO,Sleep,NO,NO,School/college
R219,16,8.0,Good,Laptop/Desktop,7.0,0.0,6.0,1.0,0.5,3,Remain Constant,NO,Social Media,NO,NO,Travelling
R220,19,0.5,Very poor,Smartphone,5.0,0.5,10.0,1.0,1,2,Remain Constant,YES,Meditation,YES,NO,School/college
R221,20,0.0,Very poor,Laptop/Desktop,2.0,0.0,10.0,3.0,2,4,Increased,NO,Sleep,NO,YES,"Friends , relatives"
R222,22,4.0,Average,Laptop/Desktop,3.0,1.0,8.0,3.0,0,4,Increased,NO,Online gaming,YES,NO,Travelling
R223,17,9.0,Poor,Laptop/Desktop,3.0,0.0,5.0,0.5,1,3,Remain Constant,NO,Listening to music,NO,NO,All the above
R224,23,1.0,Very poor,Smartphone,8.0,2.0,8.0,2.0,2,3,Decreased,NO,Online gaming,YES,YES,"Friends , relatives"
R225,22,0.0,Very poor,Laptop/Desktop,3.0,0.0,10.0,8.0,0,2,Increased,YES,Watching web series,YES,YES,"Friends , relatives"
R226,22,1.5,Average,Laptop/Desktop,0.0,0.0,9.0,6.0,2,3,Increased,NO,Scrolling through social media,YES,YES,School/college
R227,19,2.0,Very poor,Smartphone,2.0,1.0,8.0,2.0,1,3,Decreased,YES,Scrolling through social media,NO,YES,Roaming around freely
R228,19,2.0,Very poor,Smartphone,5.0,1.0,9.0,2.0,0,4,Remain Constant,NO,Listening to music,YES,NO,School/college
R229,23,1.0,Very poor,Laptop/Desktop,1.0,0.0,8.0,5.0,0,4,Increased,NO,Talking to your relatives,NO,YES,Eating outside
R230,32,4.0,Good,Laptop/Desktop,5.0,2.0,5.0,3.0,0,3,Remain Constant,NO,Reading,YES,YES,Colleagues
R231,17,6.0,Average,Smartphone,12.0,1.0,8.0,2.0,3,4,Remain Constant,NO,Sleep,NO,NO,Travelling
R233,22,4.0,Average,Laptop/Desktop,3.0,2.0,8.0,2.0,0.5,4,Increased,NO,Sleep,YES,YES,Roaming around freely
R234,17,6.0,Very poor,Any Gadget,4.0,2.5,8.0,0.5,0,3,Remain Constant,NO,Reading books,YES,YES,School/college
R235,17,5.0,Average,Laptop/Desktop,1.5,2.0,8.0,1.0,3,3,Decreased,NO,Cooking,YES,YES,"Friends , relatives"
R236,22,5.0,Good,Laptop/Desktop,10.0,1.0,6.0,1.0,0,3,Remain Constant,YES,Online gaming,YES,YES,School/college
R237,18,2.0,Very poor,Smartphone,2.0,2.0,9.0,4.0,0,3,Increased,NO,Online gaming,NO,YES,School/college
R238,20,5.0,Very poor,Laptop/Desktop,12.0,0.0,7.0,1.0,0,3,Increased,NO,Reading books,NO,YES,Roaming around freely
R239,30,3.0,Average,Smartphone,1.0,0.5,4.0,1.0,0.5,2,Remain Constant,NO,Meditation,YES,YES,School/college
R240,19,1.0,Average,Laptop/Desktop,1.0,0.0,8.0,1.0,2,4,Remain Constant,NO,Whatever want,NO,NO,Eating outside
R241,14,3.0,Good,Laptop/Desktop,2.0,0.0,8.0,1.0,1,1,Increased,NO,Cooking,YES,YES,School/college
R243,16,7.0,Average,Smartphone,3.0,2.0,11.0,1.5,1,3,Decreased,YES,Online gaming,NO,YES,School/college
R244,17,6.0,Average,Smartphone,2.0,1.0,9.0,3.0,0.5,3,Remain Constant,NO,Sleep,NO,YES,"Friends , relatives"
R245,20,1.0,Very poor,Tablet,2.0,2.0,8.0,1.0,0,2,Decreased,NO,Reading books,NO,YES,School/college
R246,17,4.0,Good,Smartphone,2.0,0.0,7.0,3.0,2,4,Increased,NO,Social Media,YES,YES,School/college
R247,20,6.0,Average,Any Gadget,2.0,0.0,6.0,4.0,0,3,Increased,NO,Listening to music,NO,NO,Roaming around freely
R249,17,5.0,Average,Smartphone,4.0,2.0,7.0,2.0,2,2,Increased,NO,Online gaming,NO,YES,School/college
R250,21,3.0,Very poor,Laptop/Desktop,2.0,0.0,7.0,2.0,2,3,Remain Constant,NO,Online gaming,YES,NO,Going to the movies
R251,16,4.0,Poor,Laptop/Desktop,0.0,0.0,9.0,1.0,1,2,Remain Constant,NO,Listening to music,NO,YES,School/college
R252,21,5.0,Average,Smartphone,2.0,2.0,6.0,5.0,0,3,Increased,NO,Scrolling through social media,NO,YES,Roaming around freely
R254,20,4.0,Good,Laptop/Desktop,5.0,1.0,7.0,0.1,0,4,Remain Constant,NO,Reading,NO,NO,School/college
R255,14,4.0,Average,Smartphone,4.0,0.0,8.0,2.0,2,3,Increased,NO,Listening to music,NO,YES,School/college
R256,19,3.0,Good,Laptop/Desktop,2.0,0.0,8.0,5.0,1.5,3,Increased,NO,Web Series,NO,YES,School/college
R257,18,0.0,Very poor,Laptop/Desktop,3.0,0.0,8.0,4.0,1,3,Increased,NO,Watching web series,NO,YES,"Friends , relatives"
R258,13,5.0,Very poor,Laptop/Desktop,4.0,1.0,8.0,10.0,0,3,Decreased,NO,Cooking,NO,NO,School/college
R259,20,4.0,Very poor,Laptop/Desktop,8.0,0.0,6.0,1.0,0,3,Decreased,NO,Listening to music,YES,YES,Eating outside
R260,19,0.0,Very poor,Laptop/Desktop,4.0,0.3,8.0,2.0,0,2,Remain Constant,NO,Talking to your relatives,NO,NO,School/college
R261,15,5.0,Average,Smartphone,1.0,0.0,7.0,1.0,1.5,3,Remain Constant,NO,Online gaming,NO,YES,School/college
R262,20,1.0,Very poor,Smartphone,0.0,0.0,10.0,5.0,1,2,Increased,YES,Sleep,NO,YES,School/college
R263,19,0.0,Very poor,Laptop/Desktop,1.0,0.0,8.0,4.0,2,3,Increased,NO,Watching web series,NO,NO,"Friends , relatives"
R264,21,3.0,Good,Laptop/Desktop,3.0,1.0,6.0,0.5,0.5,2,Increased,YES,Listening to music,YES,NO,Travelling
R265,20,4.0,Very poor,Laptop/Desktop,2.0,1.0,8.0,4.0,0,4,Increased,NO,Listening to music,NO,YES,"Friends , relatives"
R266,20,4.0,Good,Laptop/Desktop,5.0,1.0,6.0,2.0,0.5,2,Remain Constant,NO,Listening to music,NO,YES,Colleagues
R267,16,6.0,Good,Laptop/Desktop,3.0,0.0,7.0,1.0,1,3,Remain Constant,NO,Listening to music,NO,NO,School/college
R268,21,2.0,Poor,Laptop/Desktop,2.0,1.0,5.0,3.0,1,3,Remain Constant,NO,Reading books,YES,YES,Roaming around freely
R269,17,5.5,Good,Smartphone,5.0,1.0,9.0,1.0,1,3,Remain Constant,NO,Listening to music,NO,YES,Colleagues
R270,21,0.0,Average,Laptop/Desktop,12.0,0.0,7.0,3.0,0,3,Remain Constant,NO,Reading books,YES,YES,Nothing
R271,20,0.0,Good,Smartphone,0.0,0.0,7.5,3.5,2,3,Remain Constant,NO,Indoor Games,YES,YES,Nothing
R272,21,4.0,Average,Laptop/Desktop,2.0,1.0,8.0,3.0,N,2,Remain Constant,NO,Online gaming,NO,NO,Eating outside
R273,20,3.0,Very poor,Smartphone,5.0,1.0,7.0,1.0,0,3,Increased,NO,Sleep,NO,YES,Roaming around freely
R274,16,4.0,Poor,Smartphone or Laptop/Desktop,2.5,0.5,6.0,0.5,1,3,Remain Constant,NO,"watching movies,reading books,games,listening to music,sleep,dancing",YES,YES,"school, relatives and friends"
R275,19,0.0,Very poor,Laptop/Desktop,8.0,1.0,8.0,2.0,0,2,Increased,YES,Cooking,YES,YES,Roaming around freely
R276,19,1.0,Very poor,Laptop/Desktop,3.0,0.0,8.0,3.0,3,3,Increased,YES,Listening to music,YES,YES,Roaming around freely
R278,19,1.0,Excellent,Laptop/Desktop,1.0,3.0,9.0,2.0,0,5,Remain Constant,NO,Listening to music,NO,YES,Travelling
R279,20,2.0,Good,Laptop/Desktop,1.0,0.0,10.0,1.0,0,2,Remain Constant,NO,Online gaming,NO,YES,Colleagues
R280,19,2.0,Average,Smartphone,3.0,1.0,9.0,3.0,3,3,Increased,NO,Sleep,NO,YES,School/college
R281,17,7.0,Average,Laptop/Desktop,2.0,0.0,6.0,2.0,2,2,Increased,NO,Sleep,YES,YES,School/college
R282,21,0.0,Very poor,Laptop/Desktop,2.0,0.0,8.0,3.0,5,3,Decreased,NO,Watching web series,NO,NO,Roaming around freely
R283,17,6.0,Good,Smartphone,4.0,0.0,7.0,1.0,2,3,Decreased,NO,Listening to music,YES,NO,School/college
R285,25,5.0,Average,Laptop/Desktop,6.0,0.0,8.0,1.0,0,3,Remain Constant,NO,Listening to music,YES,NO,Roaming around freely
R286,19,3.0,Average,Laptop/Desktop,6.0,0.5,8.0,0.6,1.5,4,Increased,NO,Reading books,YES,YES,School/college
R287,16,5.0,Very poor,Smartphone,2.0,1.0,8.0,2.0,N,3,Increased,NO,Online gaming,NO,YES,"Friends , relatives"
R288,17,7.0,Good,Smartphone,5.0,0.5,7.0,2.0,2,3,Increased,NO,Online gaming,NO,NO,All 
R289,18,1.0,Average,Smartphone,2.0,0.0,10.0,1.0,0.5,2,Remain Constant,NO,Reading books,NO,NO,Roaming around freely
R290,20,5.0,Excellent,Laptop/Desktop,1.0,1.0,8.0,3.0,0,3,Remain Constant,NO,Listening to music,YES,NO,"Friends , relatives"
R291,20,3.0,Very poor,Laptop/Desktop,9.0,1.0,6.0,1.0,0,1,Increased,NO,Meditation,NO,YES,Roaming around freely
R292,20,1.0,Very poor,Laptop/Desktop,3.0,1.0,9.0,4.0,0,2,Increased,NO,Scrolling through social media,YES,YES,School/college
R293,22,3.0,Average,Smartphone,3.0,0.0,8.0,2.0,1,3,Increased,NO,Talking to your relatives,NO,NO,School/college
R294,16,7.0,Excellent,Tablet,2.0,1.0,6.0,2.0,0,3,Decreased,NO,Online surfing,YES,NO,School/college
R295,19,2.0,Very poor,Laptop/Desktop,1.0,1.0,7.0,5.0,1,4,Remain Constant,NO,Talking to your relatives,NO,YES,"Friends , relatives"
R296,17,9.0,Average,Laptop/Desktop,5.0,1.0,6.0,1.0,0,3,Decreased,NO,Listening to music,YES,NO,Travelling
R297,20,0.0,Average,Laptop/Desktop,1.0,0.0,9.0,5.0,2,4,Remain Constant,YES,Listening to music,YES,YES,Travelling
R298,21,0.0,Very poor,Laptop/Desktop,6.0,0.0,6.0,4.0,2,3,Increased,NO,Meditation,NO,YES,Roaming around freely
R299,19,2.0,Very poor,Laptop/Desktop,3.0,1.0,8.0,1.0,2,4,Remain Constant,NO,Watching web series,YES,YES,Travelling
R301,17,8.0,Very poor,Smartphone,2.0,1.0,9.0,0.0,0,3,Remain Constant,NO,Listening to music,NO,NO,All
R302,25,1.0,Average,Laptop/Desktop,3.0,1.0,7.0,3.0,2,3,Increased,NO,Reading books,NO,YES,Travelling
R303,20,3.0,Average,Smartphone,2.0,0.5,8.0,3.0,0,3,Remain Constant,NO,Listening to music,NO,YES,"Friends , relatives"
R305,19,5.0,Excellent,Smartphone,5.0,1.0,7.0,2.0,3,3,Increased,NO,Sleep,NO,YES,Travelling
R306,23,5.0,Average,Smartphone,5.0,1.0,8.0,1.0,2,3,Remain Constant,NO,gardening cartoon,YES,YES,Roaming around freely
R307,22,2.0,Average,Laptop/Desktop,8.0,1.0,8.0,2.0,1,2,Remain Constant,NO,Listening to music,YES,NO,School/college
R308,22,4.0,Average,Laptop/Desktop,1.0,1.0,8.0,4.0,1,3,Increased,NO,Online surfing,YES,NO,Roaming around freely
R310,21,3.0,Average,Laptop/Desktop,3.0,2.0,6.5,2.0,2,2,Increased,NO,Scrolling through social media,NO,YES,"Friends , relatives"
R311,22,1.0,Average,Smartphone,3.0,1.0,8.0,1.0,0,2,Decreased,YES,Cooking,NO,NO,Roaming around freely
R312,24,3.0,Very poor,Laptop/Desktop,4.0,0.0,6.0,3.0,4,3,Remain Constant,NO,Listening to music,NO,NO,School/college
R313,14,3.0,Average,Tablet,6.0,3.0,7.0,3.0,1,2,Remain Constant,NO,"listening to music,reading books and dancing.",YES,YES,all of the above
R314,16,4.0,Very poor,Smartphone,3.0,0.0,8.0,4.0,0,4,Remain Constant,NO,Dont get distreessed,YES,NO,Nothing 
R315,19,1.0,Average,Laptop/Desktop,3.0,2.0,7.0,1.0,2,2,Remain Constant,YES,Online gaming,NO,NO,School/college
R316,21,5.0,Very poor,Laptop/Desktop,3.0,2.0,10.0,6.0,1,3,Increased,YES,Online gaming,YES,NO,Eating outside
R317,17,2.0,Average,Laptop/Desktop,5.0,0.0,8.0,4.0,0,3,Remain Constant,NO," listening music, motion design, graphic design, sleeping.",YES,NO,Eating outside and friends.
R318,16,4.0,Good,Smartphone,2.0,0.5,9.0,1.0,0.1,3,Increased,NO,Sleeping,NO,YES,Colleagues
R320,29,8.0,Good,Laptop/Desktop,2.0,1.0,8.0,0.5,2,4,Remain Constant,NO,Web Series,NO,NO,Travelling
R321,26,1.0,Good,Laptop/Desktop,4.0,0.0,6.0,6.0,4,3,Remain Constant,NO,Talking,NO,YES,Travelling
R322,21,5.0,Very poor,Smartphone,2.0,1.0,12.0,2.0,1,4,Increased,NO,Listening to music,YES,NO,School/college
R323,18,0.0,Very poor,Smartphone,0.0,2.0,7.0,6.0,0,4,Increased,NO,Business,YES,YES,"Friends , relatives"
R324,19,3.0,Very poor,Smartphone,0.0,0.0,12.0,5.0,0,3,Decreased,NO,Online gaming,NO,NO,Eating outside
R325,21,2.0,Average,Laptop/Desktop,2.0,1.0,10.0,2.0,0.25,3,Remain Constant,NO,Sleep,YES,NO,School/college
R326,12,1.0,Good,Laptop/Desktop,3.0,2.0,8.0,2.0,1,4,Increased,NO,Reading,YES,YES,Colleagues
R327,26,0.0,Very poor,Smartphone,1.0,1.0,7.0,1.0,2,2,Decreased,NO,Online gaming,NO,YES,Travelling
R328,20,6.0,Very poor,Laptop/Desktop,6.0,0.0,6.0,3.0,0,4,Increased,NO,Reading books,NO,YES,School/college
R329,16,4.0,Very poor,Smartphone,2.0,1.0,9.0,2.0,1,2,Decreased,NO,Many among these ,NO,NO,Travelling
R330,21,0.0,Average,Laptop/Desktop,2.0,0.0,10.0,5.0,1,3,Increased,NO,Listening to music,YES,NO,School/college
R331,21,5.0,Average,Laptop/Desktop,2.0,0.0,8.0,0.5,1,2,Increased,NO,Sleep,NO,YES,"Friends , relatives"
R332,20,6.0,Average,Laptop/Desktop,4.0,0.0,7.0,1.0,0,3,Increased,NO,Cooking,YES,YES,School/college
R333,21,0.0,Very poor,Laptop/Desktop,2.0,1.0,7.0,1.0,0,4,Remain Constant,YES,Listening to music,YES,NO,Travelling
R334,21,2.0,Average,Smartphone,2.0,1.0,7.0,1.0,4,3,Remain Constant,NO,Online surfing,YES,NO,All above
R335,19,1.0,Very poor,Laptop/Desktop,0.0,0.0,12.0,10.0,2,2,Remain Constant,NO,Online gaming,NO,NO,Nothing
R336,21,2.0,Average,Laptop/Desktop,2.0,0.0,8.0,2.0,1,3,Remain Constant,YES,Reading books,NO,YES,Eating outside
R337,14,5.0,Average,Smartphone,2.3,0.0,8.0,2.0,3,2,Remain Constant,NO,Scrolling through social media,YES,YES,Travelling
R338,22,1.0,Average,Laptop/Desktop,2.0,0.0,11.0,3.0,3,2,Increased,YES,Dancing,NO,NO,"Friends , relatives"
R339,19,2.0,Average,Smartphone,2.5,0.0,9.0,2.0,1,3,Remain Constant,NO,Online surfing,NO,NO,"Nah, this is my usual lifestyle anyway, just being lazy...."
R340,18,4.0,Average,Smartphone,1.0,1.0,12.0,1.0,1,2,Increased,NO,Watching web series,NO,YES,All
R341,16,8.0,Average,Laptop/Desktop,6.0,0.0,6.0,1.0,0,4,Remain Constant,NO,Watching web series,YES,NO,"Friends , relatives"
R342,43,2.0,Average,Smartphone,0.0,1.0,6.0,2.0,0.5,3,Increased,NO,Talk with childhood friends.,NO,YES,Family 
R343,15,4.0,Very poor,Tablet,10.0,0.0,8.0,1.0,1,3,Remain Constant,NO,Listening to music,NO,YES,"Friends , relatives"
R344,32,1.0,Very poor,Laptop/Desktop,10.0,1.0,8.0,2.0,0,3,Increased,NO,Reading books,YES,YES,School/college
R345,15,3.0,Good,Laptop/Desktop,3.0,1.0,7.0,1.0,2,2,Increased,NO,Sleeping,YES,YES,Colleagues
R354,21,3.0,Average,Laptop/Desktop,3.0,1.0,8.0,2.0,0,3,Increased,NO,Watching web series,NO,YES,Eating outside
R355,15,5.0,Average,Smartphone,3.0,3.0,8.0,3.0,2,3,Remain Constant,NO,Online gaming,YES,YES,School/college
R356,34,2.0,Average,Laptop/Desktop,3.0,1.0,7.0,2.0,1,3,Remain Constant,NO,Sleep,YES,YES,Travelling
R357,17,0.75,Average,Smartphone,5.0,1.0,6.0,2.0,2,1,Increased,YES,Reading books,NO,YES,School/college
R358,12,1.0,Excellent,Smartphone,2.0,1.0,9.0,2.0,1,3,Increased,NO,Online gaming,YES,YES,School/college
R359,16,1.0,Average,Smartphone,2.0,1.0,7.0,2.0,3,3,Remain Constant,NO,Listening to music,NO,YES,School/college
R360,17,7.0,Average,Laptop/Desktop,8.0,1.0,6.0,1.0,1,3,Increased,NO,Listening to music,YES,YES,School/college
R361,14,2.5,Good,Smartphone,1.0,0.5,6.0,2.0,1,2,Decreased,NO,Cooking,YES,YES,Colleagues
R362,16,4.0,Average,Smartphone,5.0,1.0,6.0,2.0,2,2,Remain Constant,NO,Dancing,YES,NO,Travelling
R363,13,2.0,Excellent,Smartphone,1.0,3.0,11.0,3.0,2,4,Increased,NO,Reading books,NO,YES,Eating outside
R364,23,0.0,Average,Laptop/Desktop,2.0,0.0,7.0,3.0,0,3,Remain Constant,NO,Listening to music,YES,NO,Roaming around freely
R365,21,6.0,Very poor,Smartphone,0.0,1.0,7.0,4.0,1,4,Increased,NO,Listening to music,YES,YES,Only friends
R366,31,4.0,Excellent,Laptop/Desktop,2.0,1.0,8.0,1.0,1,3,Increased,NO,Sleep,YES,NO,School/college
R367,23,5.0,Excellent,Smartphone,1.0,1.0,9.0,2.0,0,4,Decreased,NO,Online gaming,YES,YES,Football
R368,13,1.0,Excellent,Smartphone,5.0,3.0,6.0,2.0,2,7,Increased,NO,Exercise,YES,YES,School/college
R369,21,3.0,Average,Laptop/Desktop,0.0,1.0,8.0,3.0,0,3,Increased,YES,Listening to music,NO,NO,School/college
R371,23,3.0,Good,Laptop/Desktop,3.0,0.0,7.0,2.0,0,3,Remain Constant,NO,Cooking,NO,YES,Travelling
R373,20,1.0,Average,Laptop/Desktop,2.5,0.0,6.0,4.0,1,3,Remain Constant,NO,Online gaming,YES,YES,Roaming around freely
R374,13,0.5,Average,Smartphone,2.0,2.0,10.0,2.0,0,3,Increased,NO,Online gaming,YES,NO,School/college
R375,14,2.0,Excellent,Smartphone,1.0,1.0,8.0,1.0,2,1,Increased,YES,Online gaming,YES,YES,School/college
R376,40,1.0,Average,Laptop/Desktop,2.0,1.0,6.0,4.0,0,2,Remain Constant,NO,Online surfing,NO,YES,Eating outside
R377,12,1.0,Excellent,Smartphone,1.2,0.5,10.0,0.0,2,3,Increased,NO,Talking to your relatives,YES,YES,"Friends , relatives"
R378,20,3.0,Very poor,Laptop/Desktop,2.0,1.0,8.0,4.0,0,3,Remain Constant,YES,Listening to music,NO,YES,Travelling
R379,12,1.0,Good,Smartphone,2.0,0.5,8.0,2.0,2,4,Remain Constant,NO,Listening to music,NO,YES,Travelling
R380,21,3.0,Average,Laptop/Desktop,3.0,0.0,8.0,2.0,0,4,Decreased,NO,Sleep,NO,YES,Travelling
R381,42,4.0,Good,Laptop/Desktop,3.0,0.0,7.0,1.0,0.5,2,Increased,NO,Social Media,YES,YES,Travelling
R382,20,3.0,Good,Smartphone,4.0,2.0,7.0,4.0,0.5,4,Remain Constant,YES,Talking,NO,YES,School/college
R391,23,3.0,Good,Smartphone,1.0,0.0,6.0,2.0,3,3,Remain Constant,NO,Listening to music,NO,YES,Colleagues
R392,12,2.0,Excellent,Smartphone,2.0,1.0,10.0,1.0,1,4,Remain Constant,NO,Reading books,YES,YES,School/college
R393,17,2.0,Excellent,Smartphone,3.0,1.0,6.0,2.0,2,1,Increased,NO,Talking to your relatives,YES,YES,School/college
R394,18,1.0,Average,Laptop/Desktop,1.0,0.0,8.0,4.0,0,3,Decreased,NO,Watching web series,YES,YES,Roaming around freely
R395,20,1.0,Average,Laptop/Desktop,2.0,2.0,9.0,4.0,5,2,Remain Constant,NO,Listening to music,YES,NO,Travelling
R396,17,5.0,Average,Smartphone,3.0,1.0,6.0,1.0,2,1,Remain Constant,NO,Online gaming,YES,YES,School/college
R397,20,1.0,Average,Laptop/Desktop,4.0,0.0,8.0,3.0,0,3,Remain Constant,NO,Watching web series,NO,NO,"Friends , relatives"
R398,20,3.0,Very poor,Laptop/Desktop,4.0,1.0,8.0,2.0,0.5,4,Remain Constant,NO,Cooking,YES,YES,Roaming around freely
R399,19,0.75,Poor,Laptop/Desktop,2.0,1.0,6.0,4.0,0,2,Remain Constant,NO,"Netflix, Friends and Books",NO,YES,"Friends , relatives"
R400,20,4.0,Good,Laptop/Desktop,2.0,0.0,11.0,1.0,0,3,Increased,NO,Listening to music,NO,YES,Travelling
R401,16,2.0,Excellent,Smartphone,5.0,1.0,8.0,4.0,4,3,Increased,NO,Online gaming,YES,YES,School/college
R402,13,3.0,Excellent,Smartphone,2.0,0.0,8.0,1.0,0,3,Remain Constant,NO,Listening to music,YES,YES,"Friends , relatives"
R403,20,0.0,Good,Laptop/Desktop,4.0,1.0,7.0,4.0,2,3,Remain Constant,YES,Web Series,NO,YES,Travelling
R404,14,3.0,Excellent,Smartphone,2.0,0.0,10.0,1.0,1,2,Remain Constant,NO,Listening to music,NO,YES,School/college
R405,17,2.0,Good,Smartphone,1.0,1.0,8.0,3.0,2,3,Decreased,NO,Online gaming,YES,YES,Travelling
R406,20,1.0,Very poor,Laptop/Desktop,1.0,0.0,12.0,2.0,1,3,Increased,NO,Listening to music,NO,YES,Eating outside
R407,17,7.0,Excellent,Smartphone,1.0,1.0,4.0,1.0,0,1,Decreased,NO,Cooking,YES,YES,School/college
R408,13,2.0,Excellent,Smartphone,1.0,1.0,6.0,2.0,0,1,Decreased,YES,Reading books,YES,YES,School/college
R409,13,1.0,Good,Smartphone,2.0,1.0,8.0,3.0,0.5,3,Remain Constant,NO,Online gaming,YES,YES,School/college
R410,20,2.0,Very poor,Laptop/Desktop,4.0,1.0,8.0,2.0,0,3,Remain Constant,NO,Meditation,YES,YES,"Friends , relatives"
R411,27,0.0,Good,Laptop/Desktop,2.0,0.0,10.0,6.0,6,3,Decreased,NO,Online gaming,NO,YES,Colleagues
R412,20,1.0,Good,Laptop/Desktop,0.0,1.0,7.0,2.0,0,3,Decreased,NO,Web Series,YES,NO,Eating outside
R413,20,5.0,Very poor,Laptop/Desktop,3.0,1.0,7.0,4.0,0,3,Decreased,NO,Listening to music,YES,YES,Roaming around freely
R414,17,4.0,Average,Smartphone,1.0,1.0,8.0,5.0,0.3,2,Increased,NO,Online gaming,NO,YES,"Friends , relatives"
R415,27,3.0,Excellent,Laptop/Desktop,2.0,2.0,7.0,1.0,0,3,Decreased,YES,Listening to music,YES,YES,Travelling
R417,9,1.0,Average,Laptop/Desktop,1.0,0.0,8.0,0.0,1,3,Increased,NO,Listening to music,NO,NO,Roaming around freely
R418,14,5.0,Average,Smartphone,1.0,1.0,7.0,1.0,4.5,2,Decreased,NO,Watching web series,NO,YES,"Friends , relatives"
R419,36,2.0,Excellent,Tablet,3.0,1.0,7.0,5.0,3,3,Increased,NO,Online gaming,NO,YES,"Friends , relatives"
R420,8,2.0,Excellent,Laptop/Desktop,2.0,1.0,8.0,1.0,2,3,Remain Constant,NO,Dancing,YES,YES,Roaming around freely
R421,20,2.0,Average,Laptop/Desktop,1.0,1.0,7.0,1.0,1,2,Remain Constant,NO,Watching web series,YES,YES,School/college
R422,12,2.0,Average,Laptop/Desktop,1.0,1.0,7.0,2.0,2,2,Increased,NO,Sleeping,YES,YES,"Friends , relatives"
R423,19,8.0,Excellent,Laptop/Desktop,10.0,1.0,6.0,1.0,0,4,Remain Constant,NO,Online gaming,YES,YES,School/college
R424,24,0.0,Excellent,Laptop/Desktop,3.0,1.0,8.0,3.0,0,3,Decreased,NO,Online gaming,YES,NO,Travelling
R425,20,2.0,Average,Laptop/Desktop,2.0,2.0,8.0,3.0,0,3,Remain Constant,NO,Watching web series,YES,YES,Roaming around freely
R426,22,1.0,Very poor,Smartphone,3.0,0.0,7.0,3.0,2,3,Remain Constant,NO,Watching web series,NO,YES,Roaming around freely
R427,20,3.0,Very poor,Laptop/Desktop,0.0,1.0,9.0,4.0,4,4,Decreased,NO,Sleeping,NO,YES,"Friends , relatives"
R428,12,1.0,Excellent,Smartphone,3.0,1.0,6.0,1.0,1,1,Remain Constant,NO,Cooking,NO,YES,"Friends , relatives"
R429,21,0.0,Very poor,Laptop/Desktop,1.0,0.0,6.0,6.0,1,3,Remain Constant,YES,Scrolling through social media,NO,NO,School/college
R430,20,2.0,Average,Laptop/Desktop,3.0,2.0,7.0,3.0,1,2,Decreased,NO,Talking to your relatives,YES,YES,Roaming around freely
R431,32,1.0,Average,Smartphone,0.0,0.0,14.0,2.0,2,3,Remain Constant,NO,Watching web series,NO,YES,School/college
R432,28,4.0,Good,Laptop/Desktop,4.0,1.0,12.0,2.0,0,3,Decreased,NO,Social Media,YES,YES,Travelling
R433,21,2.0,Very poor,Laptop/Desktop,0.0,1.0,12.0,5.0,5,4,Remain Constant,NO,Listening to music,NO,NO,School/college
R434,21,2.0,Average,Laptop/Desktop,2.0,1.0,8.0,2.0,2,3,Remain Constant,YES,Watching web series,YES,YES,"Friends , relatives"
R435,15,5.0,Average,Laptop/Desktop,3.0,1.0,10.0,3.0,1,4,Remain Constant,NO,Listening to music,YES,YES,All
R436,19,1.0,Very poor,Laptop/Desktop,0.0,1.0,9.0,8.0,0,3,Remain Constant,NO,Online gaming,NO,NO,"Friends , relatives"
R437,19,3.0,Very poor,Laptop/Desktop,1.0,0.0,5.0,1.0,2,3,Increased,NO,Watching web series,NO,YES,School/college
