ID,Age of Subject,Time spent on Online Class,Rating of Online Class experience,Medium for online class,Time spent on self study,Time spent on fitness,Time spent on sleep,Time spent on social media,Time spent on TV,Number of meals per day,Change in your weight,Health issue during lockdown,Stress busters,Time utilized,"Do you find yourself more connected with your family, close friends , relatives  ?",What you miss the most
R49,21,3.0,Very poor,Laptop/Desktop,4.0,2.0,8.0,2.0,0,4,Increased,NO,Listening to music,YES,YES,Travelling
R50,18,4.0,Good,Laptop/Desktop,2.0,0.0,8.0,4.0,0,3,Remain Constant,NO,Social Media,YES,YES,Colleagues
R51,19,0.0,Very poor,Smartphone,1.0,0.0,8.0,2.0,2,3,Remain Constant,YES,Online gaming,NO,YES,School/college
R52,20,5.0,Average,Laptop/Desktop,6.0,1.0,7.0,2.0,0,3,Remain Constant,NO,Reading books,NO,YES,Roaming around freely
R53,21,3.0,Average,Laptop/Desktop,17.0,0.0,5.0,1.0,0,3,Increased,NO,Online gaming,NO,NO,"Friends , relatives"
R54,19,0.0,Average,Smartphone,2.0,2.0,10.0,1.0,0.5,4,Remain Constant,NO,Reading books,YES,YES,Roaming around freely
R55,21,4.0,Average,Smartphone,4.0,1.0,8.0,2.0,2,4,Remain Constant,NO,Sleep,YES,YES,Gym
R56,19,4.0,Very poor,Smartphone,2.0,0.0,7.0,1.0,0,3,Increased,YES,Watching web series,YES,YES,Roaming around freely
R57,19,2.0,Very poor,Smartphone,2.0,2.0,8.0,1.0,0,4,Increased,NO,Listening to music,NO,YES,"Friends , relatives"
R58,18,1.0,Very poor,Smartphone,8.0,0.0,8.0,5.0,2,3,Increased,NO,Online surfing,YES,YES,School/college
R59,20,5.0,Average,Laptop/Desktop,1.0,1.0,7.0,1.0,0,3,Increased,YES,Listening to music,NO,YES,School/college
R60,21,0.0,Very poor,Smartphone,5.0,0.0,8.0,1.0,1,3,Remain Constant,NO,Online gaming,YES,NO,Eating outside
R61,22,6.0,Very poor,Laptop/Desktop,6.0,0.0,6.0,1.0,0,2,Increased,NO,Watching web series,YES,NO,"Friends , relatives"
R62,20,3.0,Very poor,Laptop/Desktop,6.0,1.0,8.0,1.0,2,4,Increased,NO,Sleep,YES,YES,Roaming around freely
R63,18,0.0,Very poor,Laptop/Desktop,2.0,1.0,6.0,5.0,0,1,Remain Constant,NO,Crying,NO,YES,"Friends , relatives"
R64,20,2.0,Very poor,Laptop/Desktop,0.0,1.0,8.0,2.0,0,3,Increased,NO,Watching web series,NO,YES,School/college
R65,23,2.0,Very poor,Smartphone,1.0,1.0,7.0,5.0,1,4,Decreased,NO,Listening to music,YES,YES,Roaming around freely
R66,20,4.0,Average,Smartphone,4.0,2.0,7.0,2.0,1,3,Increased,NO,Listening to music,NO,YES,Eating outside
R68,18,3.0,Average,Smartphone,1.0,1.0,8.0,3.0,0.5,4,Remain Constant,NO,Dancing,YES,YES,Roaming around freely
R69,20,1.5,Very poor,Smartphone,3.0,2.0,9.0,1.0,1,2,Decreased,YES,Sleep,NO,YES,Travelling
R70,19,2.0,Very poor,Tablet,2.0,1.0,8.0,5.0,0,4,Decreased,NO,Scrolling through social media,NO,YES,Roaming around freely
R71,20,2.0,Very poor,Smartphone,3.0,1.0,6.0,2.0,1,4,Increased,NO,Listening to music,NO,NO,Travelling
R72,22,6.0,Very poor,Smartphone,4.0,0.0,7.0,2.0,0,1,Increased,NO,Online gaming,NO,NO,Eating outside
R73,20,2.0,Very poor,Smartphone,2.0,0.0,7.0,3.0,2,2,Remain Constant,NO,Reading books,NO,NO,"Friends , relatives"
R74,19,1.0,Average,Laptop/Desktop,0.5,1.0,7.0,5.0,2,3,Remain Constant,NO,Many of these,NO,YES,"Friends , relatives"
R75,18,3.0,Very poor,Smartphone,2.0,2.0,8.0,8.0,0,4,Remain Constant,NO,Listening to music,NO,YES,School/college
R76,19,3.0,Average,Smartphone,5.0,0.0,5.0,4.0,0,2,Increased,YES,Listening to music,YES,NO,Roaming around freely
